0,9,9
1,8,8
2,9,8
3,10,8
4,10,9
5,10,10
6,9,10
7,8,10
8,8,9
9,7,7
10,8,7
11,9,7
12,10,7
13,11,7
14,11,8
15,11,9
16,11,10
17,11,11
18,10,11
19,9,11
20,8,11
21,7,11
22,7,10
23,7,9
24,7,8
25,6,6
26,7,6
27,8,6
28,9,6
29,10,6
30,11,6
31,12,6
32,12,7
33,12,8
34,12,9
35,12,10
36,12,11
37,12,12
38,11,12
39,10,12
40,9,12
41,8,12
42,7,12
43,6,12
44,6,11
45,6,10
46,6,9
47,6,8
48,6,7
49,5,5
50,6,5
51,7,5
52,8,5
53,9,5
54,10,5
55,11,5
56,12,5
57,13,5
58,13,6
59,13,7
60,13,8
61,13,9
62,13,10
63,13,11
64,13,12
65,13,13
66,12,13
67,11,13
68,10,13
69,9,13
70,8,13
71,7,13
72,6,13
73,5,13
74,5,12
75,5,11
76,5,10
77,5,9
78,5,8
79,5,7
80,5,6
81,4,4
82,5,4
83,6,4
84,7,4
85,8,4
86,9,4
87,10,4
88,11,4
89,12,4
90,13,4
91,14,4
92,14,5
93,14,6
94,14,7
95,14,8
96,14,9
97,14,10
98,14,11
99,14,12
100,14,13
101,14,14
102,13,14
103,12,14
104,11,14
105,10,14
106,9,14
107,8,14
108,7,14
109,6,14
110,5,14
111,4,14
112,4,13
113,4,12
114,4,11
115,4,10
116,4,9
117,4,8
118,4,7
119,4,6
120,4,5
121,3,3
122,4,3
123,5,3
124,6,3
125,7,3
126,8,3
127,9,3
128,10,3
129,11,3
130,12,3
131,13,3
132,14,3
133,15,3
134,15,4
135,15,5
136,15,6
137,15,7
138,15,8
139,15,9
140,15,10
141,15,11
142,15,12
143,15,13
144,15,14
145,15,15
146,14,15
147,13,15
148,12,15
149,11,15
150,10,15
151,9,15
152,8,15
153,7,15
154,6,15
155,5,15
156,4,15
157,3,15
158,3,14
159,3,13
160,3,12
161,3,11
162,3,10
163,3,9
164,3,8
165,3,7
166,3,6
167,3,5
168,3,4
169,2,2
170,3,2
171,4,2
172,5,2
173,6,2
174,7,2
175,8,2
176,9,2
177,10,2
178,11,2
179,12,2
180,13,2
181,14,2
182,15,2
183,16,2
184,16,3
185,16,4
186,16,5
187,16,6
188,16,7
189,16,8
190,16,9
191,16,10
192,16,11
193,16,12
194,16,13
195,16,14
196,16,15
197,16,16
198,15,16
199,14,16
200,13,16
201,12,16
202,11,16
203,10,16
204,9,16
205,8,16
206,7,16
207,6,16
208,5,16
209,4,16
210,3,16
211,2,16
212,2,15
213,2,14
214,2,13
215,2,12
216,2,11
217,2,10
218,2,9
219,2,8
220,2,7
221,2,6
222,2,5
223,2,4
224,2,3
225,1,1
226,2,1
227,3,1
228,4,1
229,5,1
230,6,1
231,7,1
232,8,1
233,9,1
234,10,1
235,11,1
236,12,1
237,13,1
238,14,1
239,15,1
240,16,1
241,17,1
242,17,2
243,17,3
244,17,4
245,17,5
246,17,6
247,17,7
248,17,8
249,17,9
250,17,10
251,17,11
252,17,12
253,17,13
254,17,14
255,17,15
256,17,16
257,17,17
258,16,17
259,15,17
260,14,17
261,13,17
262,12,17
263,11,17
264,10,17
265,9,17
266,8,17
267,7,17
268,6,17
269,5,17
270,4,17
271,3,17
272,2,17
273,1,17
274,1,16
275,1,15
276,1,14
277,1,13
278,1,12
279,1,11
280,1,10
281,1,9
282,1,8
283,1,7
284,1,6
285,1,5
286,1,4
287,1,3
288,1,2
289,0,0
290,1,0
291,2,0
292,3,0
293,4,0
294,5,0
295,6,0
296,7,0
297,8,0
298,9,0
299,10,0
300,11,0
301,12,0
302,13,0
303,14,0
304,15,0
305,16,0
306,17,0
307,18,0
308,18,1
309,18,2
310,18,3
311,18,4
312,18,5
313,18,6
314,18,7
315,18,8
316,18,9
317,18,10
318,18,11
319,18,12
320,18,13
321,18,14
322,18,15
323,18,16
324,18,17
325,18,18
326,17,18
327,16,18
328,15,18
329,14,18
330,13,18
331,12,18
332,11,18
333,10,18
334,9,18
335,8,18
336,7,18
337,6,18
338,5,18
339,4,18
340,3,18
341,2,18
342,1,18
343,0,18
344,0,17
345,0,16
346,0,15
347,0,14
348,0,13
349,0,12
350,0,11
351,0,10
352,0,9
353,0,8
354,0,7
355,0,6
356,0,5
357,0,4
358,0,3
359,0,2
360,0,1
